RID,rname,cuisine
1,AB FOODS POINT,"Beverages,Pizzas"
2,Janta Sweet House,"Sweets,Bakery"
3,theka coffee desi,Beverages
4,Singh Hut,"Fast Food,Indian"
5,GRILL MASTERS,"Italian-American,Fast Food"
6,Sam Uncle,Continental
7,shere punjab veg,North Indian
8,Shri Balaji Vaishno Dhaba,North Indian
9,Hinglaj Kachori Bhandhar,"Snacks,Chaat"
10,yummy hub,Indian
11,CHAWLA SAAB THE JUICE MASTER,"Juices,Beverages"
12,Sethi Milk Badam,"Sweets,Desserts"
13,Swastik Dhaba,North Indian
14,Jodhpuri Kachori,Snacks
15,Bharawan Da Dhaba,Indian
16,Tandoori Nights,Tandoor
17,Roll Express,Fast Food
18,wah ji waah veg and non veg corner,"North Indian,Chinese"
19,Shri Balaji fast food and Variety store,Indian
20,FOODY MOOD,"Fast Food,Chinese"
21,PUNJABI TADKA,"Punjabi,North Indian"
22,PUNJABI TADKA CHICKEN HUB,"North Indian,Tandoor"
23,Royal Chicken,"Mughlai,North Indian"
24,Just Baked,"Beverages,Pizzas"
25,Picado International Food,"Pizzas,Beverages"
26,PubG Cafe,"Chinese,Pizzas"
27,Verma Dhaba,Indian
28,Fresh Food Cafe,North Indian
29,NAVU PIZZA HOUSE,"Pizzas,Fast Food"
30,Domino's Pizza,Pizzas
31,Joker Cafe,Indian
32,Deepak Dhaba,"North Indian,Chinese"
33,FUN TIME (SHARMA DAIRY),Ice Cream
34,Pari Healthy Food,"Pizzas,American"
35,Bhatti Ki Rasoi,North Indian
36,SETHI PUNJABI RASOI,Indian
37,Kurda Ram Desi Ghee Dhaba(Original & Famous),North Indian
38,Paratha 24x7,"Indian,Thalis"
39,NIKKU VEG THALI,North Indian
40,PARJAPATI FAST FOOD,"Fast Food,American"
41,Ganesh Fast Food,Chaat
42,Mitran Da dhaba,"North Indian,Indian"
43,The Super Cafe,Beverages
44,chacha sweets house,"Sweets,Beverages"
45,Cafe M,"Continental,Snacks"
46,Frankie roll junction,"North Indian,Fast Food"
47,G.K Dhaba,"North Indian,Thalis"
48,DAYA RAJ VEG VAISHNO DHABA AND  CATERS,"Chinese,Snacks"
49,JUICY BAR N RESTO,"Beverages,Pizzas"
50,FresHub,Beverages
51,The Food Factory,"North Indian,South Indian"
52,MUNNA PUNJABI RASOI,"Chinese,Indian"
53,Grill Master By Sharda Anita Enterprises,"Fast Food,Italian"
54,Maruti Plaza,"Beverages,Snacks"
55,Nikku Chaap Cafe,"Indian,Chinese"
56,DK Food Point,Chaat
57,TUMMY CLINIK FAST FOOD CORNER,"Snacks,Chinese"
58,Sagar Fast Food,"North Indian,Fast Food"
59,SUDESH FAST FOOD,"Bakery,Chinese"
60,Sonu Tandoori Paties,North Indian
61,Bihari da vaishno dhaba,North Indian
62,SHRI GANESH SWEET HOUSE,Indian
63,Sharma Bakery,Bakery
64,IFC Restaurant,American
65,Ayappa Fast Food,Chinese
66,Hot N Chill Restaurant,"European,Italian"
67,China Kitchen Fast Food,"Chinese,Fast Food"
68,Devi Family Restaurant,"Indian,Chinese"
69,Instaa Fast Food Center,"Chinese,Snacks"
70,Hotel Radha Grand Family restaurant,Biryani
71,Hotel Surabhi Grand,"Indian,Chinese"
72,Food Court,"Indian,Chinese"
73,T-Ruchi,"Sweets,Snacks"
74,CRUNCHY FAST FOOD CENTRE,"Chinese,Snacks"
75,8AM TIFFINS,South Indian
76,Minerva Ice Cream,Desserts
77,Ayyappa Mess,South Indian
78,FRUITASTY,"Beverages,Desserts"
79,Lotus Grand Family Restaurant,Biryani
80,Shaifan Tiffin Centre,"Street Food,Indian"
81,Food On Wheels,South Indian
82,Sri Sai Mom's Kitchen Restaurant,Biryani
83,China Kitchen Restaurant,Chinese
84,Renuka Hotel,South Indian
85,Tanishq Family Restaurant,"Chinese,Indian"
86,KMC Hotel,Biryani
87,RAMA JUICE AND SHAKES PARLOUR (LASSI N SHAKES ),"Indian,Beverages"
88,Kwality Walls Frozen Dessert and Ice Cream Shop,Desserts
